"Reference","Description","Value","manufacturer_pn","package","temp_coefficient","tolerance","voltage","Manufacturer","LCSC Part"
"J2,J3","Wire To Board Connector, Surface Mount, Vertical","BM08B-GHS-TBT(LF)(SN)","BM08B-GHS-TBT(LF)(SN)","SMD,P=1.25mm","","","","JST","C133062"
"J5","Vertical ZIF connector, 12P, P=0.5mm, SMD","AFC11-S12ICA-00","AFC11-S12ICA-00","SMD,P=0.5mm","","","","JUSHUO","C262499"
"R13","Thick Film Resistor, SMD","2.2k","0402WGF2201TCE","0402","±100ppm/℃","± 1%","50V","UNI-ROYAL(Uniroyal Elec)","C25879"
"R11","Thick Film Resistor, SMD","47","0805W8F470JT5E","0805","±100ppm/℃","± 1%","150V","UNI-ROYAL(Uniroyal Elec)","C17714"
"R10","Thick Film Resistor, SMD","120","0402WGF1200TCE","0402","±100ppm/℃","± 1%","50V","UNI-ROYAL(Uniroyal Elec)","C25079"
"R8,R9,R14","Thick Film Resistor, SMD","10k","0402WGF1002TCE","0402","±100ppm/℃","± 1%","50V","UNI-ROYAL(Uniroyal Elec)","C25744"
"R6,R7","Thick Film Resistor, SMD","5.1k","0603WAF5101T5E","0603","±100ppm/℃","± 1%","75V","UNI-ROYAL(Uniroyal Elec)","C23186"
"R3,R4","Thick Film Resistor, SMD","33","0402WGF330JTCE","0402","±100ppm/℃","± 1%","50V","UNI-ROYAL(Uniroyal Elec)","C25105"
"R1,R5","Thick Film Resistor, SMD","1k","0402WGF1001TCE","0402","±100ppm/℃","± 1%","50V","UNI-ROYAL(Uniroyal Elec)","C11702"
"D1,D2","Schottky Diode","B5819WSL","B5819W SL","SOD-123","","","","Jiangsu Changjing Electronics Technology Co., Ltd.","C8598"
"J1","Right Angle, Type-C, SMD, USB Connector","TYPE-C-31-M-12","TYPE-C-31-M-12","","","","","Korean Hroparts Elec","C165948"
"U3","Microcontroller","RP2040","RP2040","LQFN-56","","",""," Raspberry Pi","C2040"
"U1","Low Drop Out (LDO) power regulator, 3.3V","NCP1117ST33T3G","NCP1117ST33T3G","SOT-223","","","","onsemi","C26537"
"Y1","Crystal Oscillator, 12 MHz","ABM8-272-T3","ABM8-272-T3","SMD3225-4P","","","","Abracon LLC","C20625731"
"C8,C10,C19","Ceramic Capacitor, SMD","1uF","CL05A105KA5NQNC","0402","X5R","± 10%","25V","Samsung Electro-Mechanics","C52923"
"C5,C6,C7,C9,C11,C12,C13,C14,C15,C16,C18","Ceramic Capacitor, SMD","100nF","CL05B104KO5NNNC","0402","X7R","± 10%","16V","Samsung Electro-Mechanics","C1525"
"C2,C3","Ceramic Capacitor, SMD","15pF","0402CG150J500NT","0402","C0G","± 5%","50V","FH (Guangdong Fenghua Advanced Tech)","C1548"
"C1,C4,C17,C20","Ceramic Capacitor, SMD","10uF","GRM21BR61C106KE15L","0805","X5R","± 10%","16V","Murata Electronics","C77075"
"SW1","Button, Surface Mount","TS-1187A-B-A-B","TS-1187A-B-A-B","SMD-4P,5.1x5.1mm","","","","XKB Connection","C318884"
"Q1","Bipolar Transistor (BJT), SMD","S8050","S8050 J3Y(RANGE:200-350)","SOT-23","","","","Jiangsu Changjing Electronics Technology Co., Ltd.","C2146"
"U4","50Mbps Half-Duplex Transceiver, RS485/RS422","THVD1450DR","THVD1450DR","SOIC-8","","","","Texas Instruments","C2671361"
"U2","32Mbit / 4MiB Serial Flash Memory","W25Q32JVSSIQ","W25Q32JVSSIQ","SOIC-8-208mil","","","","Winbond Elec","C179173"
